type_of_service,actual_year,vessel_country_code,count,row_num,country_name
Non Containerized,2018,GR,783,9,Greece
Non Containerized,2018,HK,606,10,Hong Kong
Non Containerized,2019,US,25862,1,United States
Non Containerized,2019,PA,6799,2,Panama
Non Containerized,2019,MH,1651,3,Marshall Islands
Non Containerized,2019,LR,1487,4,Liberia
Non Containerized,2019,BS,1068,5,Bahamas
Non Containerized,2019,SG,826,6,Singapore
Non Containerized,2019,GB,765,7,United Kingdom
Non Containerized,2019,MT,678,8,Malta
Non Containerized,2019,HK,547,9,Hong Kong
Non Containerized,2019,NL,510,10,Netherlands
Non Containerized,2020,US,13534,1,United States
Non Containerized,2020,PA,6717,2,Panama
Non Containerized,2020,JP,1508,3,Japan
Non Containerized,2020,MH,1480,4,Marshall Islands
Non Containerized,2020,LR,1101,5,Liberia
Non Containerized,2020,BS,929,6,Bahamas
Non Containerized,2020,SG,883,7,Singapore
Non Containerized,2020,MT,668,8,Malta
Non Containerized,2020,IT,366,9,Italy
Non Containerized,2020,HK,361,10,Hong Kong
Pier to House,2018,PA,243146,1,Panama
Pier to House,2018,LR,194217,2,Liberia
Pier to House,2018,HK,113458,3,Hong Kong
Pier to House,2018,SG,106938,4,Singapore
Pier to House,2018,MH,86372,5,Marshall Islands
Pier to House,2018,GB,69539,6,United Kingdom
Pier to House,2018,DE,52834,7,Germany
Pier to House,2018,MT,45956,8,Malta
Pier to House,2018,DK,43520,9,Denmark
Pier to House,2018,CY,29533,10,Cyprus
Pier to House,2019,PA,218220,1,Panama
Pier to House,2019,LR,202662,2,Liberia
Pier to House,2019,HK,139054,3,Hong Kong
Pier to House,2019,SG,119393,4,Singapore
Pier to House,2019,MH,88233,5,Marshall Islands
Pier to House,2019,MT,81756,6,Malta
Pier to House,2019,DE,58110,7,Germany
Pier to House,2019,DK,50500,8,Denmark
Pier to House,2019,GB,49041,9,United Kingdom
Pier to House,2019,US,46796,10,United States
Pier to House,2020,PA,137079,1,Panama
