shipper_party_name,count,mean_delay,% Total
BOD.Y VINEDOS QUINTA DE MAIPO SPA,54,-20.574074074074073,0.000307128853123418
ISHIDA CO.LTD,88,-20.568181818181817,0.0005005062791640885
CONTINENTAL AUTOMOTIVE MEXICANA,154,-20.558441558441558,0.0008758859885371549
"SDK INDUSTRIES, CO. LTD.",66,-20.5,0.00037537970937306643
INGREDION MEXICO S.A DE C.V,57,-20.43859649122807,0.0003241915671858301
HONG KONG XINGDA INTERNATIONAL LIMI,53,-20.433962264150942,0.0003014412817692806
VCST DE MEXICO S DE RL DE CV,154,-20.42207792207792,0.0008758859885371549
MEAD JOHNSON NUTRICIONALES,268,-20.365671641791046,0.001524269122908815
BUNGE CANADA,299,-20.307692307692307,0.0017005838348870736
"PLASTIC INGENUITY DE MEXICO, S. DE",72,-20.305555555555557,0.0004095051374978907
CATERPILLAR INDUSTRIAS MEX,234,-20.303418803418804,0.0013308916968681444
SILVER VALLEY FARM,53,-20.22641509433962,0.0003014412817692806
CUMMINS GRUPO INDUSTRIAL S DE R L,190,-20.210526315789473,0.0010806385572861002
MAHLE DE MEXICO S DE RL DE CV,79,-20.11392405063291,0.00044931813697685226
VALEO SISTEMAS ELECTRICOS,308,-20.100649350649352,0.0017517719770743098
ROBERT BOSCH MEXICO SISTEMAS,977,-20.087001023541454,0.0055567572129922105
KSB DE MEXICO S A DE C V,63,-20.07936507936508,0.0003583169953106543
RPK MEXICO S A DE C V,85,-20.070588235294117,0.0004834435651016764
CLARIANT (MEXICO) SA DE CV,486,-20.037037037037038,0.0027641596781107615
KALTEX APPAREL S A DE C V,97,-20.02061855670103,0.0005516944213513249
RESORTES Y PARTES SA DE CV,117,-19.982905982905983,0.0006654458484340722
"ARNECOM, SA DE CV",742,-19.963611859838274,0.004220177944769928
"MERKLE KORFF INDUSTRIES DE MEXICO,",269,-19.947955390334574,0.0015299566942629525
AESTHETIC LIVING MERCHANTS PVT LTD,139,-19.942446043165468,0.0007905724182250944
FIRMENICH DE MEXICO S.A. DE C.V,97,-19.84536082474227,0.0005516944213513249
FRENOS Y MECANISMOS SA DE CV,95,-19.83157894736842,0.0005403192786430501
TRUMPF SACHSEN GMBH,277,-19.79783393501805,0.0015754572650960514
EMERSON CLIMATE TECHNOLOGIES MEXICO,322,-19.77639751552795,0.0018313979760322331
DOMAINES BOURNET-LAPOSTOLLE CHILE,56,-19.767857142857142,0.0003185039958316927
