type_of_service,actual_year_month,actual_year,actual_month,count,row_num
Container Station,2019-09,2019,9,52175,5
Break Bulk,2019-09,2019,9,28601,6
House to Pier,2019-09,2019,9,28364,7
Non Containerized,2019-09,2019,9,2423,8
Roll on Roll Off,2019-09,2019,9,382,9
Headload or Devanning,2019-09,2019,9,73,10
House to House,2019-10,2019,10,992845,1
Container Yard,2019-10,2019,10,628506,2
Pier to Pier,2019-10,2019,10,456564,3
Pier to House,2019-10,2019,10,96912,4
Container Station,2019-10,2019,10,50910,5
House to Pier,2019-10,2019,10,27228,6
Break Bulk,2019-10,2019,10,23419,7
Non Containerized,2019-10,2019,10,3005,8
Roll on Roll Off,2019-10,2019,10,334,9
Headload or Devanning,2019-10,2019,10,36,10
House to House,2019-11,2019,11,860146,1
Container Yard,2019-11,2019,11,608772,2
Pier to Pier,2019-11,2019,11,414648,3
Pier to House,2019-11,2019,11,89323,4
Container Station,2019-11,2019,11,47242,5
House to Pier,2019-11,2019,11,25383,6
Break Bulk,2019-11,2019,11,22114,7
Non Containerized,2019-11,2019,11,3845,8
Roll on Roll Off,2019-11,2019,11,467,9
Headload or Devanning,2019-11,2019,11,74,10
House to House,2019-12,2019,12,860202,1
Container Yard,2019-12,2019,12,595713,2
Pier to Pier,2019-12,2019,12,417431,3
Pier to House,2019-12,2019,12,87708,4
Container Station,2019-12,2019,12,50685,5
House to Pier,2019-12,2019,12,27177,6
Break Bulk,2019-12,2019,12,24102,7
Non Containerized,2019-12,2019,12,3596,8
Roll on Roll Off,2019-12,2019,12,312,9
Headload or Devanning,2019-12,2019,12,46,10
House to House,2020-01,2020,1,900626,1
Container Yard,2020-01,2020,1,649673,2
Pier to Pier,2020-01,2020,1,451055,3
Pier to House,2020-01,2020,1,93839,4
Container Station,2020-01,2020,1,45757,5
Break Bulk,2020-01,2020,1,23460,6
House to Pier,2020-01,2020,1,23453,7
Non Containerized,2020-01,2020,1,3798,8
Roll on Roll Off,2020-01,2020,1,280,9
Mixed Delivery,2020-01,2020,1,44,10
House to House,2020-02,2020,2,795857,1
Container Yard,2020-02,2020,2,555993,2
Pier to Pier,2020-02,2020,2,387571,3
Pier to House,2020-02,2020,2,75952,4
Container Station,2020-02,2020,2,39469,5
House to Pier,2020-02,2020,2,24126,6
Break Bulk,2020-02,2020,2,19783,7
Non Containerized,2020-02,2020,2,3981,8
Roll on Roll Off,2020-02,2020,2,301,9
Mixed Delivery,2020-02,2020,2,55,10
House to House,2020-03,2020,3,793929,1
Container Yard,2020-03,2020,3,513708,2
Pier to Pier,2020-03,2020,3,373109,3
Pier to House,2020-03,2020,3,81209,4
Container Station,2020-03,2020,3,42533,5
House to Pier,2020-03,2020,3,32967,6
Break Bulk,2020-03,2020,3,19673,7
Non Containerized,2020-03,2020,3,3632,8
Roll on Roll Off,2020-03,2020,3,355,9
Mixed Delivery,2020-03,2020,3,73,10
House to House,2020-04,2020,4,892414,1
Container Yard,2020-04,2020,4,609001,2
Pier to Pier,2020-04,2020,4,444114,3
Container Station,2020-04,2020,4,281327,4
Pier to House,2020-04,2020,4,89149,5
House to Pier,2020-04,2020,4,27040,6
Break Bulk,2020-04,2020,4,23179,7
Non Containerized,2020-04,2020,4,3000,8
Roll on Roll Off,2020-04,2020,4,287,9
Headload or Devanning,2020-04,2020,4,99,10
House to House,2020-05,2020,5,748980,1
Container Yard,2020-05,2020,5,576675,2
Pier to Pier,2020-05,2020,5,486133,3
Container Station,2020-05,2020,5,165265,4
Pier to House,2020-05,2020,5,72697,5
Break Bulk,2020-05,2020,5,24283,6
House to Pier,2020-05,2020,5,24101,7
Non Containerized,2020-05,2020,5,2595,8
Roll on Roll Off,2020-05,2020,5,228,9
Headload or Devanning,2020-05,2020,5,211,10
House to House,2020-06,2020,6,844520,1
Container Yard,2020-06,2020,6,673983,2
Pier to Pier,2020-06,2020,6,510353,3
Pier to House,2020-06,2020,6,78457,4
Container Station,2020-06,2020,6,69363,5
Break Bulk,2020-06,2020,6,28709,6
House to Pier,2020-06,2020,6,25652,7
Non Containerized,2020-06,2020,6,2458,8
Roll on Roll Off,2020-06,2020,6,417,9
Headload or Devanning,2020-06,2020,6,74,10
House to House,2020-07,2020,7,1012276,1
Container Yard,2020-07,2020,7,760904,2
Pier to Pier,2020-07,2020,7,553005,3
Pier to House,2020-07,2020,7,96890,4
Container Station,2020-07,2020,7,70212,5
Break Bulk,2020-07,2020,7,29416,6
House to Pier,2020-07,2020,7,28321,7
Non Containerized,2020-07,2020,7,2974,8
Roll on Roll Off,2020-07,2020,7,241,9
Headload or Devanning,2020-07,2020,7,125,10
House to House,2020-08,2020,8,1118521,1
Container Yard,2020-08,2020,8,810493,2
Pier to Pier,2020-08,2020,8,613454,3
Container Station,2020-08,2020,8,147884,4
Pier to House,2020-08,2020,8,100698,5
Break Bulk,2020-08,2020,8,36761,6
House to Pier,2020-08,2020,8,29682,7
Non Containerized,2020-08,2020,8,4340,8
Roll on Roll Off,2020-08,2020,8,263,9
Headload or Devanning,2020-08,2020,8,192,10
House to House,2020-09,2020,9,992882,1
Container Yard,2020-09,2020,9,656587,2
Pier to Pier,2020-09,2020,9,540021,3
Container Station,2020-09,2020,9,107463,4
Pier to House,2020-09,2020,9,83043,5
Break Bulk,2020-09,2020,9,30010,6
House to Pier,2020-09,2020,9,23714,7
Non Containerized,2020-09,2020,9,2429,8
Roll on Roll Off,2020-09,2020,9,245,9
Headload or Devanning,2020-09,2020,9,86,10
