shipper_party_name,count,mean_delay,% Total
"SAMSUNG ELECTRONICS CO., LTD",18896,-0.36161092294665537,0.10747234830777974
HONOUR LANE SHIPPING LTD.,18334,-0.18582960619613834,0.10427593320675455
MAGICAL CRUISE COMPANY LIMITED,18241,0.0,0.10374698907081976
"K-APEX LOGISTICS (SHENZHEN) CO.,",17168,-0.09791472506989748,0.09764422500783036
"ORIENT EXPRESS CONTAINER CO.,LTD.",16185,-0.1383379672536299,0.09205334236671332
"DHL GLOBAL FORWARDING (CHINA) CO.,",15962,-0.15662197719584012,0.09078501395474069
MASTER INTERNATIONAL LOGISTICS,15531,-0.06297083252849141,0.08833367070110748
SEACO SHIPPING SA,15216,-0.23284700315457413,0.08654208572455423
"CITY OCEAN LOGISTICS CO.,LTD.",15027,-0.14740134424702203,0.08546713473862225
TOPOCEAN CONSOLIDATION SERVICE (CHI,14916,-0.24818986323411102,0.08483581431831301
APM GLOBAL LOGISTICS BANGLADESH LTD,14453,-0.04013007680066422,0.0822024687813474
SCHENKER DEUTSCHLAND AG,14161,-0.32504766612527364,0.0805416979459393
PACIFIC LINK INTERNATIONAL FREIGHT,13966,-0.09838178433338107,0.0794326215318825
CARNIVAL CRUISE LINE,13856,-0.10450346420323325,0.07880698868292739
SHINE INTERNATIONAL TRANSPORTATION,13759,-0.06613852750926666,0.07825529426157607
NEPTUNE SHIPPING LIMITED,13592,-0.09027369040612125,0.07730546984543514
SINO CONNECTIONS LOGISTICS INC.,13455,-0.18112225938312895,0.07652627256991831
BARSAN GLOBAL LOJISTIK A.S.,13228,-0.47338977925612336,0.07523519387252912
SAVINO DEL BENE SPA,13188,-0.39990900818926295,0.07500769101836363
GIORGIO GORI WAREHOUSE,12982,-0.31320289631797876,0.07383605131941133
BEIJING KANG-JIE-KONG INTERNATIONAL,12671,-0.13834740746586693,0.07206721662827462
ORIENT STAR TRANSPORT INTERNATIONAL,12297,-0.07180613157680735,0.06994006494182724
TOLL GLOBAL FORWARDING (HONG KONG),11960,-0.09807692307692308,0.06802335339548293
DIVERSIFICADOS DE COSTA RICA DICORI,11934,-0.12208815149991621,0.06787547654027537
DHL GLOBAL FORWARDING GMBH,11894,-0.228014124768791,0.06764797368610988
PUDONG PRIME INTERNATIONAL,11856,-0.10323886639676114,0.06743184597465265
XYLEM EUROPE GMBH,11827,-2.650376257715397,0.06726690640538267
"KERRY-APEX (THAILAND) CO.,LTD.",11554,-0.1537129998268998,0.06571419942570317
"SAFROUND LOGISTICS CO., LTD.",11310,-0.17515473032714413,0.06432643201529366
"ORIENT EXPRESS CONTAINER CO.,LTD",11228,-0.15790879942999644,0.06386005116425439
CHINATRANS INTERNATIONAL LIMITED,11196,-0.11888174347981421,0.06367804888092199
K-APEX LOGISTICS (SHANGHAI),11091,-0.07663871607609773,0.06308085388873756
CENTURY DISTRIBUTION SYSTEMS,11087,-0.13123477947145307,0.06305810360332102
JAS AS AGENT FOR BLUE WORLD LINE,10906,-0.1872363836420319,0.062028653188222156
CHIQUITA BRANDS INT L S.A.R.L.,10516,-0.15252947888931154,0.059810500360108584
LG ELECTRONICS INC,10412,-0.14118325009604302,0.05921899293927829
ORIENT STAR TRANSPORT INT'L LTD.,10189,-0.11934439100991265,0.057950664527305656
INTERGLOBO DO BRASIL - LOGISTICA IN,10076,-0.5634180230250099,0.05730796896428814
JENNY,9931,-0.010069479407914611,0.05648327111793822
"NINGBO JOYS IMP.& EXP.CO.,LTD.",9814,-0.01732219278581618,0.05581782526950414
