type_of_service,actual_year,actual_year,actual_year_month,vessel_country_code,count,row_num,country_name
Break Bulk,2019,2019,2019-03,HK,1861,3,Hong Kong
Break Bulk,2019,2019,2019-03,SG,1617,4,Singapore
Break Bulk,2019,2019,2019-03,MT,1091,5,Malta
Break Bulk,2019,2019,2019-03,FR,1048,6,France
Break Bulk,2019,2019,2019-03,US,992,7,United States
Break Bulk,2019,2019,2019-03,GB,923,8,United Kingdom
Break Bulk,2019,2019,2019-03,PT,638,9,Portugal
Break Bulk,2019,2019,2019-03,MH,607,10,Marshall Islands
Break Bulk,2019,2019,2019-04,LR,3870,1,Liberia
Break Bulk,2019,2019,2019-04,PA,3779,2,Panama
Break Bulk,2019,2019,2019-04,HK,2533,3,Hong Kong
Break Bulk,2019,2019,2019-04,SG,2121,4,Singapore
Break Bulk,2019,2019,2019-04,GB,1274,5,United Kingdom
Break Bulk,2019,2019,2019-04,US,1233,6,United States
Break Bulk,2019,2019,2019-04,FR,1012,7,France
Break Bulk,2019,2019,2019-04,MT,918,8,Malta
Break Bulk,2019,2019,2019-04,DE,796,9,Germany
Break Bulk,2019,2019,2019-04,AG,558,10,Antigua and Barbuda
Break Bulk,2019,2019,2019-05,PA,4120,1,Panama
Break Bulk,2019,2019,2019-05,HK,3498,2,Hong Kong
Break Bulk,2019,2019,2019-05,LR,3361,3,Liberia
Break Bulk,2019,2019,2019-05,SG,1992,4,Singapore
Break Bulk,2019,2019,2019-05,MT,1499,5,Malta
Break Bulk,2019,2019,2019-05,GB,1305,6,United Kingdom
Break Bulk,2019,2019,2019-05,DE,877,7,Germany
Break Bulk,2019,2019,2019-05,FR,814,8,France
Break Bulk,2019,2019,2019-05,US,702,9,United States
Break Bulk,2019,2019,2019-05,PT,637,10,Portugal
Break Bulk,2019,2019,2019-06,PA,4347,1,Panama
Break Bulk,2019,2019,2019-06,LR,3334,2,Liberia
Break Bulk,2019,2019,2019-06,HK,3241,3,Hong Kong
Break Bulk,2019,2019,2019-06,US,2219,4,United States
Break Bulk,2019,2019,2019-06,SG,1907,5,Singapore
Break Bulk,2019,2019,2019-06,DE,1626,6,Germany
Break Bulk,2019,2019,2019-06,GB,1252,7,United Kingdom
Break Bulk,2019,2019,2019-06,MT,1074,8,Malta
Break Bulk,2019,2019,2019-06,MH,814,9,Marshall Islands
Break Bulk,2019,2019,2019-06,DK,754,10,Denmark
Break Bulk,2019,2019,2019-07,PA,4285,1,Panama
Break Bulk,2019,2019,2019-07,LR,3534,2,Liberia
Break Bulk,2019,2019,2019-07,HK,3352,3,Hong Kong
Break Bulk,2019,2019,2019-07,SG,2511,4,Singapore
Break Bulk,2019,2019,2019-07,DE,2455,5,Germany
Break Bulk,2019,2019,2019-07,US,2216,6,United States
Break Bulk,2019,2019,2019-07,FR,1580,7,France
Break Bulk,2019,2019,2019-07,PT,1387,8,Portugal
Break Bulk,2019,2019,2019-07,MH,1194,9,Marshall Islands
Break Bulk,2019,2019,2019-07,GB,1015,10,United Kingdom
Break Bulk,2019,2019,2019-08,PA,4311,1,Panama
Break Bulk,2019,2019,2019-08,HK,4199,2,Hong Kong
Break Bulk,2019,2019,2019-08,LR,3087,3,Liberia
Break Bulk,2019,2019,2019-08,DE,2778,4,Germany
Break Bulk,2019,2019,2019-08,US,2540,5,United States
Break Bulk,2019,2019,2019-08,SG,2510,6,Singapore
Break Bulk,2019,2019,2019-08,GB,1310,7,United Kingdom
Break Bulk,2019,2019,2019-08,FR,1230,8,France
Break Bulk,2019,2019,2019-08,MT,931,9,Malta
Break Bulk,2019,2019,2019-08,DK,811,10,Denmark
Break Bulk,2019,2019,2019-09,HK,4606,1,Hong Kong
Break Bulk,2019,2019,2019-09,PA,4422,2,Panama
Break Bulk,2019,2019,2019-09,LR,3539,3,Liberia
Break Bulk,2019,2019,2019-09,US,2535,4,United States
Break Bulk,2019,2019,2019-09,SG,2489,5,Singapore
Break Bulk,2019,2019,2019-09,DE,2450,6,Germany
Break Bulk,2019,2019,2019-09,GB,1690,7,United Kingdom
Break Bulk,2019,2019,2019-09,PT,1432,8,Portugal
Break Bulk,2019,2019,2019-09,MT,1165,9,Malta
Break Bulk,2019,2019,2019-09,FR,775,10,France
Break Bulk,2019,2019,2019-10,PA,3824,1,Panama
Break Bulk,2019,2019,2019-10,HK,3470,2,Hong Kong
Break Bulk,2019,2019,2019-10,LR,3190,3,Liberia
Break Bulk,2019,2019,2019-10,DE,2351,4,Germany
Break Bulk,2019,2019,2019-10,SG,1472,5,Singapore
Break Bulk,2019,2019,2019-10,FR,1235,6,France
Break Bulk,2019,2019,2019-10,PT,1166,7,Portugal
Break Bulk,2019,2019,2019-10,US,1135,8,United States
Break Bulk,2019,2019,2019-10,GB,1065,9,United Kingdom
Break Bulk,2019,2019,2019-10,MT,939,10,Malta
Break Bulk,2019,2019,2019-11,HK,3638,1,Hong Kong
Break Bulk,2019,2019,2019-11,LR,2933,2,Liberia
Break Bulk,2019,2019,2019-11,PA,2779,3,Panama
Break Bulk,2019,2019,2019-11,DE,2004,4,Germany
Break Bulk,2019,2019,2019-11,SG,1902,5,Singapore
Break Bulk,2019,2019,2019-11,US,1636,6,United States
Break Bulk,2019,2019,2019-11,FR,1338,7,France
Break Bulk,2019,2019,2019-11,GB,1112,8,United Kingdom
Break Bulk,2019,2019,2019-11,PT,785,9,Portugal
Break Bulk,2019,2019,2019-11,DK,683,10,Denmark
Break Bulk,2019,2019,2019-12,HK,4043,1,Hong Kong
Break Bulk,2019,2019,2019-12,PA,3108,2,Panama
Break Bulk,2019,2019,2019-12,DE,2661,3,Germany
Break Bulk,2019,2019,2019-12,LR,2600,4,Liberia
Break Bulk,2019,2019,2019-12,SG,2130,5,Singapore
Break Bulk,2019,2019,2019-12,FR,1969,6,France
Break Bulk,2019,2019,2019-12,US,1429,7,United States
Break Bulk,2019,2019,2019-12,MT,1214,8,Malta
Break Bulk,2019,2019,2019-12,GB,775,9,United Kingdom
Break Bulk,2019,2019,2019-12,DK,666,10,Denmark
Break Bulk,2020,2020,2020-01,PA,3742,1,Panama
Break Bulk,2020,2020,2020-01,HK,3199,2,Hong Kong
Break Bulk,2020,2020,2020-01,LR,2894,3,Liberia
Break Bulk,2020,2020,2020-01,DE,2445,4,Germany
Break Bulk,2020,2020,2020-01,SG,2079,5,Singapore
Break Bulk,2020,2020,2020-01,FR,1491,6,France
Break Bulk,2020,2020,2020-01,US,1350,7,United States
Break Bulk,2020,2020,2020-01,MT,1230,8,Malta
Break Bulk,2020,2020,2020-01,GB,1068,9,United Kingdom
Break Bulk,2020,2020,2020-01,PT,919,10,Portugal
Break Bulk,2020,2020,2020-02,LR,3250,1,Liberia
Break Bulk,2020,2020,2020-02,PA,3039,2,Panama
Break Bulk,2020,2020,2020-02,HK,2923,3,Hong Kong
Break Bulk,2020,2020,2020-02,DE,1707,4,Germany
Break Bulk,2020,2020,2020-02,MT,1492,5,Malta
Break Bulk,2020,2020,2020-02,US,1018,6,United States
Break Bulk,2020,2020,2020-02,GB,901,7,United Kingdom
Break Bulk,2020,2020,2020-02,SG,869,8,Singapore
Break Bulk,2020,2020,2020-02,MH,824,9,Marshall Islands
Break Bulk,2020,2020,2020-02,PT,796,10,Portugal
Break Bulk,2020,2020,2020-03,DE,4656,1,Germany
Break Bulk,2020,2020,2020-03,PA,2953,2,Panama
